year,month,country,region,student_ai_usage_pct,teacher_ai_usage_pct,schools_ai_adoption_pct,avg_daily_ai_usage_min,top_ai_tool,internet_penetration_pct,education_index,government_ai_policy,urban_ai_usage_pct,rural_ai_usage_pct,ai_in_curriculum,gender_gap_ai_usage_pct
2015,1,United States,North America,1,2,1,19,Google Gemini,90,0.9,None,1,0,Yes,6
2015,1,United Kingdom,Europe,4,1,5,11,Google Gemini,92,0.91,Draft,7,0,Yes,5
2015,1,China,Asia,6,5,4,7,ChatGPT,70,0.75,Active,8,1,No,7
2015,1,India,Asia,7,5,0,59,Microsoft Copilot,50,0.64,None,10,0,Yes,7
2015,1,Germany,Europe,9,7,6,29,Khanmigo,93,0.94,Active,13,0,Yes,1
2015,1,Brazil,South America,0,7,6,44,ChatGPT,75,0.7,Draft,4,0,No,10
2015,1,Pakistan,Asia,3,8,7,46,Microsoft Copilot,45,0.55,Active,7,0,No,3
2015,1,Nigeria,Africa,6,1,2,37,Microsoft Copilot,42,0.52,Active,11,0,Yes,5
2015,1,Canada,North America,3,1,3,29,Microsoft Copilot,94,0.92,Draft,6,0,No,5
2015,1,Australia,Oceania,0,1,6,37,ChatGPT,96,0.93,None,4,0,Yes,5
2015,2,United States,North America,10,8,0,20,Google Gemini,90,0.9,Draft,13,0,Yes,4
2015,2,United Kingdom,Europe,8,1,3,31,Khanmigo,92,0.91,Draft,10,0,No,3
2015,2,China,Asia,8,7,7,33,Khanmigo,70,0.75,None,11,0,Yes,10
2015,2,India,Asia,7,6,5,40,Microsoft Copilot,50,0.64,Draft,8,0,No,5
2015,2,Germany,Europe,1,6,7,58,Google Gemini,93,0.94,None,1,0,Yes,9
2015,2,Brazil,South America,5,8,1,8,Khanmigo,75,0.7,Active,8,0,Yes,1
2015,2,Pakistan,Asia,9,8,2,59,ChatGPT,45,0.55,Active,14,0,Yes,8
2015,2,Nigeria,Africa,6,1,5,13,Khanmigo,42,0.52,Draft,10,0,No,3
2015,2,Canada,North America,5,2,6,56,Google Gemini,94,0.92,None,8,0,Yes,9
2015,2,Australia,Oceania,1,5,5,7,ChatGPT,96,0.93,Active,5,0,No,7
2015,3,United States,North America,1,6,6,5,ChatGPT,90,0.9,Active,3,0,Yes,6
2015,3,United Kingdom,Europe,2,2,0,5,ChatGPT,92,0.91,Active,3,0,Yes,2
2015,3,China,Asia,7,4,2,8,Microsoft Copilot,70,0.75,None,7,1,Yes,6
2015,3,India,Asia,6,8,0,5,Microsoft Copilot,50,0.64,None,7,0,Yes,8
2015,3,Germany,Europe,2,7,3,40,Microsoft Copilot,93,0.94,None,2,0,No,6
2015,3,Brazil,South America,8,6,1,48,ChatGPT,75,0.7,Active,12,0,No,2
2015,3,Pakistan,Asia,2,1,5,30,Google Gemini,45,0.55,Active,5,0,Yes,2
2015,3,Nigeria,Africa,6,8,1,47,Microsoft Copilot,42,0.52,Active,11,0,No,1
2015,3,Canada,North America,3,5,5,58,Khanmigo,94,0.92,Draft,5,0,No,2
2015,3,Australia,Oceania,2,0,5,44,Google Gemini,96,0.93,Draft,6,0,No,9
2015,4,United States,North America,7,0,6,44,ChatGPT,90,0.9,Active,12,0,No,8
2015,4,United Kingdom,Europe,1,4,5,48,Khanmigo,92,0.91,None,6,0,Yes,5
2015,4,China,Asia,4,0,6,44,Google Gemini,70,0.75,Active,8,0,No,3
2015,4,India,Asia,0,4,1,42,Google Gemini,50,0.64,None,2,0,No,10
